demand_id,Destination_State,Destination_City,opportunity_name,Origin_Lat,Origin_Lon,Destination_Lat,Destination_Lon,distance_km,distance_mean,distance_variance
292740805210278,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.960057410954173,-38.489415013973705,-12.95926,-38.48684,0.29299116438854306,0.5702769397879689,0.05560000505947246
292740805210279,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.960861294458667,-38.48946042632072,-12.95926,-38.48684,0.33499471924639757,0.5702769397879689,0.05560000505947246
292740805210280,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.956202889654257,-38.495384154706684,-12.94953,-38.49624,0.7440402586957497,0.5909253277023981,0.06200263972809542
292740805210281,BA,SALVADOR,UBS PROF BEZERRA LOPES,-12.954828817379845,-38.49687047034143,-12.94953,-38.49624,0.5901867261453462,0.5909253277023981,0.06200263972809542
292740805210282,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.955023964241118,-38.48609390929093,-12.95926,-38.48684,0.4755738379493469,0.5702769397879689,0.05560000505947246
292740805210283,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.955627919986954,-38.48587154167751,-12.95926,-38.48684,0.41533029948147204,0.5702769397879689,0.05560000505947246
292740805210284,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.961912215894252,-38.48863624336049,-12.95926,-38.48684,0.3522452750559433,0.5702769397879689,0.05560000505947246
292740805210285,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.960742084496468,-38.48765037124138,-12.95926,-38.48684,0.18605131997715346,0.5702769397879689,0.05560000505947246
292740805210286,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.964276921118037,-38.49128049939322,-12.95926,-38.48684,0.7349705171663693,0.5702769397879689,0.05560000505947246
292740805210287,BA,SALVADOR,UBS MARIA DA CONCEICAO SANTIAGO IMBASSAY,-12.965530463330769,-38.48990578565075,-12.95926,-38.48684,0.7693328723391422,0.5702769397879689,0.05560000505947246
292740805210288,BA,SALVADOR,UBS PROF MARIO ANDREA,-12.966017121693127,-38.49409058832226,-12.96857,-38.49695,0.4195413580480563,0.5774889668459275,0.06473581699248131
292740805210289,BA,SALVADOR,UBS PROF MARIO ANDREA,-12.964849994552347,-38.49344129240074,-12.96857,-38.49695,0.5606207454394867,0.5774889668459275,0.06473581699248131
292740805210290,BA,SALVADOR,UBS PROF MARIO ANDREA,-12.963913834485966,-38.49479127748152,-12.96857,-38.49695,0.5658621403683363,0.5774889668459275,0.06473581699248131
292740805210291,BA,SALVADOR,UBS PROF MARIO ANDREA,-12.963700537462778,-38.49381804057039,-12.96857,-38.49695,0.6369323841716876,0.5774889668459275,0.06473581699248131
292740805210292,BA,SALVADOR,UBS PROF MARIO ANDREA,-12.96427907785565,-38.49814680842684,-12.96857,-38.49695,0.49214546928216113,0.5774889668459275,0.06473581699248131
292740805210293,BA,SALVADOR,UBS PROF MARIO ANDREA,-12.964749723877908,-38.4977870514783,-12.96857,-38.49695,0.4322857653453212,0.5774889668459275,0.06473581699248131
292740805210294,BA,SALVADOR,USF SAN MARTIN,-12.949219737485711,-38.48365190492468,-12.9440997,-38.4758257,1.020779990613637,0.4605530019664806,0.06335912427483939
