MUN,LATITUDE,LONGITUDE
Manaus,-2.77784,-60.13396
Manacapuru,-3.28185,-60.63684
Manaus,-2.81462,-59.93556
Manaus,-2.66874,-60.60884
Boa Vista do Ramos,-2.97261,-57.58737
Manaus,-3.10772,-60.04254
Manaus,-3.13469,-60.02333
Santa Isabel do Rio Negro,-0.41492,-65.02005
Iranduba,-3.28105,-60.19338
Urucurituba,-2.76572,-57.75943
Boa Vista do Ramos,-2.97321,-57.58707
Manaus,-3.03303,-59.92391
Boa Vista do Ramos,-3.15977,-57.5478
Tabatinga,-4.24494,-69.93574
Maues,-3.38512,-57.71466
Maues,-3.54916,-58.10192
Maues,-3.37864,-58.01448
Parintins,-2.45945,-57.10171
Tabatinga,-4.23188,-69.94624
Humaita,-7.51222,-63.02669
Itacoatiara,-3.12331,-58.4366
Codajas,-3.83857,-62.06678
Careiro,-3.51748,-59.81038
Silves,-2.97129,-58.47698
Nhamunda,-2.2951,-56.80438
Borba,-4.39061,-59.59455
Nhamunda,-2.19547,-56.71116
Parintins,-2.63105,-56.73439
Itacoatiara,-3.21837,-59.02585
Benjamin Constant,-4.37891,-70.00638
Barreirinha,-2.85994,-56.99797
Fonte Boa,-2.5196,-66.09087
Maues,-3.89397,-57.50456
Itacoatiara,-3.12719,-58.4434
Maues,-3.71224,-57.41171
Silves,-2.81881,-58.66089
Labrea,-7.2616,-64.79227
Barreirinha,-2.79743,-57.17137
Manaus,-3.11774,-60.04066
Barreirinha,-2.83993,-57.41598
Parintins,-2.75015,-56.75022
Sao Gabriel da Cachoeira,-0.13646,-67.08364
Manacapuru,-3.29486,-60.624
Alvaraes,-3.21444,-64.80761
Autazes,-3.57719,-59.11893
Autazes,-3.57866,-59.13356
Tabatinga,-4.2264,-69.93901
Caapiranga,-3.33076,-61.21182
Novo Aripuana,-5.12697,-60.37388
Canutama,-6.53588,-64.38797
Autazes,-3.58435,-59.13637
Careiro da Varzea,-3.19945,-59.82594
Nova Olinda do Norte,-3.90816,-58.77458
Barcelos,-0.96983,-62.93142
Anama,-3.58107,-61.40582
Tefe,-3.35391,-64.70945
Tefe,-3.34557,-64.70769
Parintins,-2.62705,-56.73629
Presidente Figueiredo,-2.04941,-60.00856
Borba,-4.39191,-59.58788
Parintins,-2.62705,-56.73629
Presidente Figueiredo,-2.05112,-60.02161
Presidente Figueiredo,-2.04941,-60.00856
Nova Olinda do Norte,-3.74115,-58.44612
Novo Aripuana,-5.12283,-60.37126
Codajas,-3.84497,-62.05554
Nova Olinda do Norte,-3.72732,-58.90058
Nova Olinda do Norte,-3.75149,-58.37581
Manaus,-3.0179,-59.92799
Manaus,-3.06726,-59.94595
Manaus,-3.05099,-59.92104
Manaus,-3.08928,-59.97998
Manaus,-3.11377,-60.00577
Manaus,-3.00663,-60.00432
Coari,-4.08421,-63.14218
Humaita,-7.52573,-63.02319
Manaus,-3.12562,-60.00906
Manaus,-3.11021,-60.06489
Manaus,-3.10564,-59.9864
Manaus,-3.08246,-60.03691
Manaus,-3.1434,-60.00839
Manaus,-3.11516,-59.9494
Manaus,-3.1128,-59.98799
Manaus,-3.02304,-59.9216
Manaus,-3.11297,-59.9917
Manaus,-3.10097,-60.06388
Humaita,-7.52335,-63.02697
Manaus,-2.98746,-59.99635
Manaus,-3.08761,-59.88136
Manaus,-3.05805,-59.96005
Manaus,-3.0131,-59.99227
Manaus,-3.05488,-59.93477
Manaus,-3.10876,-60.02062
Manaus,-3.13839,-60.00899
Manacapuru,-3.28268,-60.64148
Manaus,-3.07547,-60.03502
Manaus,-3.13549,-59.99095
Manaus,-3.05019,-60.04642
Manaus,-3.0808,-60.04418
Manaus,-3.11149,-60.05
Manaus,-3.0828,-59.94928
Manaus,-3.01753,-59.99803
Manaus,-3.06306,-59.93059
Manaus,-3.14011,-59.99743
Manaus,-3.11214,-60.03309
Maues,-3.3863,-57.71979
Presidente Figueiredo,-2.05285,-60.02807
Manaus,-3.07476,-60.05221
Manaus,-3.10589,-60.03006
Manaus,-3.0534,-60.00293
Manaus,-3.12378,-60.01738
Manaus,-3.01825,-59.97196
Manaus,-3.04748,-59.93421
Manaus,-3.07942,-60.03462
Manaus,-3.08577,-59.97724
Careiro da Varzea,-3.31428,-59.65091
Apui,-7.32706,-59.85555
Manaus,-3.10938,-59.98891
Manaus,-3.11112,-60.06232
Manaus,-3.08274,-59.94099
Codajas,-3.83876,-62.06959
Manacapuru,-3.2854,-60.62584
Manaus,-3.05813,-59.94338
Nhamunda,-2.31196,-56.85132
Manaus,-3.10963,-60.00382
Borba,-4.39061,-59.59455
Manaus,-3.09955,-60.00062
Tonantins,-2.87257,-67.80175
Careiro da Varzea,-3.09627,-59.64134
Coari,-4.08396,-63.13347
Manaus,-3.11467,-60.04491
Manaus,-3.14664,-60.00371
Manaus,-3.1268,-60.00571
Manaus,-3.06006,-59.9329
Manaus,-3.10431,-59.98837
Manaus,-3.11967,-60.03026
Manaus,-3.07684,-60.06892
Manaus,-3.09531,-60.00425
Careiro da Varzea,-3.19609,-59.82645
Manaus,-3.12847,-59.99178
Manaus,-3.1053,-59.99698
Manaus,-2.99152,-60.01801
Manaus,-3.05754,-60.01627
Manaus,-3.07253,-59.95807
Manaus,-3.12167,-60.01888
Manaus,-3.05929,-60.03487
Manaus,-3.04303,-59.9343
Manaus,-3.10069,-60.05486
Manaus,-3.11902,-60.02173
Carauari,-4.90499,-66.90536
Manaus,-3.04677,-59.94625
Manaus,-3.1509,-59.27761
Manaus,-3.07497,-60.0641
Manacapuru,-3.28765,-60.62172
Manaus,-3.08677,-59.98215
Manaus,-3.09399,-59.98271
Manaus,-3.02982,-60.00322
Carauari,-4.88166,-66.89663
Manaus,-3.08832,-59.89583
Manaus,-3.11197,-60.03324
Tapaua,-5.62559,-63.18739
Manaus,-3.03869,-59.97623
Manaus,-3.14483,-59.34578
Manaus,-3.07098,-59.93715
Manaus,-3.09549,-59.94483
Manaus,-3.0906,-59.98648
Itacoatiara,-3.13835,-58.43476
Manaus,-3.06428,-59.92569
Manaus,-3.0128,-60.00571
Manaus,-3.04898,-60.00165
Sao Sebastiao do Uatuma,-2.57699,-57.98512
Nhamunda,-2.17688,-56.24873
Urucara,-2.5301,-57.70783
Parintins,-2.45637,-57.28134
Canutama,-6.53351,-64.38724
Urucara,-2.53646,-57.75819
Iranduba,-3.21644,-60.03474
Itacoatiara,-3.14732,-58.44756
Itacoatiara,-3.19564,-58.74209
Tapaua,-5.6283,-63.18943
Tefe,-3.34697,-64.69591
Manaus,-3.03838,-59.98796
Manaus,-3.09883,-60.05985
Careiro,-3.82341,-60.35843
Manicore,-5.80711,-61.29047
Manaus,-3.04304,-59.9963
Manaus,-3.01106,-59.92538
Manaus,-3.10161,-60.01297
Manaus,-3.04263,-59.92892
Manaus,-3.07331,-60.04329
Manaus,-3.11617,-60.03514
Manaus,-3.11362,-60.00069
Manaus,-3.08379,-59.96988
Manaus,-3.04318,-59.92539
Manaus,-3.07517,-59.96418
Fonte Boa,-2.514,-66.092
Manaus,-3.09187,-59.95116
Manacapuru,-3.27324,-60.65763
Manacapuru,-3.27324,-60.65763
Borba,-4.38835,-59.59448
Careiro da Varzea,-3.22076,-59.86869
Maraa,-1.856,-65.581
Manicore,-5.80935,-61.30049
Autazes,-3.58035,-59.13148
Manaus,-3.102,-60.025
Manaus,-2.99721,-60.03477
Manaus,-3.102,-60.025
Iranduba,-3.285,-60.186
Santo Antonio do Ica,-3.102,-67.94
Tabatinga,-4.04998,-69.76443
Coari,-4.08396,-63.13347
Manaus,-3.11467,-60.04491
Manaus,-3.14664,-60.00371
Manaus,-3.1268,-60.00571
Manaus,-3.06006,-59.9329
Manaus,-3.10431,-59.98837
Manaus,-3.11967,-60.03026
Manaus,-3.07684,-60.06892
Manaus,-3.09531,-60.00425
Careiro da Varzea,-3.19609,-59.82645
Manaus,-3.12847,-59.99178
Manaus,-3.1053,-59.99698
Manaus,-2.99152,-60.01801
Manaus,-3.05754,-60.01627
Manaus,-3.07253,-59.95807
Manaus,-3.12167,-60.01888
Manaus,-3.05929,-60.03487
Manaus,-3.04303,-59.9343
Manaus,-3.0828,-59.94928
Manaus,-3.01753,-59.99803
Manaus,-3.06306,-59.93059
Manaus,-3.14011,-59.99743
Manaus,-3.11214,-60.03309
Maues,-3.3863,-57.71979
Presidente Figueiredo,-2.05285,-60.02807
Manaus,-3.07476,-60.05221
Manaus,-3.10589,-60.03006
Manaus,-3.0534,-60.00293
Manaus,-3.12378,-60.01738
Manaus,-3.01825,-59.97196
Manaus,-3.04748,-59.93421
Manaus,-3.07942,-60.03462
Manaus,-3.08577,-59.97724
Sao Gabriel da Cachoeira,0.11861,-67.08472
Manaus,-3.10575,-60.06229
Tefe,-3.34837,-64.70841
Sao Paulo de Olivenca,-3.46244,-68.95328
Manaus,-3.1069,-60.00655
Beruri,-3.898,-61.373
Manaus,-3.03696,-59.95172
Manaus,-3.07121,-60.02305
Maues,-3.384,-57.719
Barreirinha,-2.79334,-57.07047
Manaus,-3.06376,-59.86618
Pauini,-7.71435,-66.97652
Maues,-3.384,-57.719
Manaus,-3.1064,-60.02642
Atalaia do Norte,-4.372,-70.192
Itacoatiara,-3.11253,-58.42494
Codajas,-3.84497,-62.05554
Japura,-1.87999,-66.99862
Tefe,-3.34837,-64.70841
Sao Paulo de Olivenca,-3.46244,-68.95328
